设备大类,device_id,类型,英文名,中文描述,参数(名:类型),PLC节点,交互模式
冷藏箱,refrigerator,action,initialize,初始化,,初始化触发 / 初始化完成,写触发→等完成→复位
冷藏箱,refrigerator,action,set_mode,设置运行模式,mode:str,运行模式设置,写设定值
冷藏箱,refrigerator,action,set_temperature,设置温度,temperature:float,温度设置,写设定值
冷藏箱,refrigerator,action,set_defrost_interval,设置除霜间隔,defrost_interval:float,除霜间隔设置,写设定值
冷藏箱,refrigerator,action,set_defrost_time,设置除霜时间,defrost_time:float,除霜时间设置,写设定值
冷藏箱,refrigerator,action,set_fan_speed,设置风扇转速,fan_speed:float,风扇转速设置,写设定值
冷藏箱,refrigerator,action,defrost,除霜,,除霜触发 / 除霜完成,写触发→等完成→复位
冷藏箱,refrigerator,action,run,运行,,运行触发 / 运行完成,写触发→等完成→复位
冷藏箱,refrigerator,property,status,设备运行状态,str,设备运行状态,读状态
冷藏箱,refrigerator,property,fault,故障,bool,故障,读状态
冷藏箱,refrigerator,property,idle,空闲,bool,空闲,读状态
冷藏箱,refrigerator,property,device_ready,设备就绪,bool,设备就绪,读状态
冷藏箱,refrigerator,property,door_open_state,门打开状态,bool,门打开状态,读状态
冷藏箱,refrigerator,property,cooling_system_running,制冷系统运行,bool,制冷系统运行,读状态
冷藏箱,refrigerator,property,fault_code,故障代码,int,故障代码,读状态
冷藏箱,refrigerator,property,current_temperature,实际温度,float,实际温度,读状态
冷藏箱,refrigerator,property,compressor_duty_ratio,压缩机运行比例,float,压缩机运行比例,读状态
冷藏箱,refrigerator,property,temperature_alarm,温度超限报警,bool,温度超限报警,读状态
冷冻箱,freezer,action,initialize,初始化,,初始化触发 / 初始化完成,写触发→等完成→复位
冷冻箱,freezer,action,set_mode,设置运行模式,mode:str,运行模式设置,写设定值
冷冻箱,freezer,action,set_temperature,设置温度,temperature:float,温度设置,写设定值
冷冻箱,freezer,action,set_defrost_interval,设置除霜间隔,defrost_interval:float,除霜间隔设置,写设定值
冷冻箱,freezer,action,set_defrost_time,设置除霜时间,defrost_time:float,除霜时间设置,写设定值
冷冻箱,freezer,action,set_fan_speed,设置风扇转速,fan_speed:float,风扇转速设置,写设定值
冷冻箱,freezer,action,run,运行,,运行触发 / 运行完成,写触发→等完成→复位
冷冻箱,freezer,property,status,设备运行状态,str,设备运行状态,读状态
冷冻箱,freezer,property,fault,故障,bool,故障,读状态
冷冻箱,freezer,property,idle,空闲,bool,空闲,读状态
冷冻箱,freezer,property,device_ready,设备就绪,bool,设备就绪,读状态
冷冻箱,freezer,property,door_open_state,门打开状态,bool,门打开状态,读状态
冷冻箱,freezer,property,fault_code,故障代码,int,故障代码,读状态
冷冻箱,freezer,property,current_temperature,实际温度,float,实际温度,读状态
冷冻箱,freezer,property,compressor_duty_ratio,压缩机运行比例,float,压缩机运行比例,读状态
冷冻箱,freezer,action,defrost,除霜,,除霜触发 / 除霜完成,写触发→等完成→复位
冷冻箱,freezer,property,freezing_system_running,冷冻系统运行,bool,冷冻系统运行,读状态
冷冻箱,freezer,property,low_temp_protection_active,低温保护激活,bool,低温保护激活,读状态
冷冻箱,freezer,property,oil_level_abnormal,冷冻油位异常,bool,冷冻油位异常,读状态
冷冻箱,freezer,property,compressor_overload,压缩机过载,bool,压缩机过载,读状态
冷冻冷藏箱,fridge_freezer,action,initialize,初始化,,初始化触发 / 初始化完成,写触发→等完成→复位
冷冻冷藏箱,fridge_freezer,action,set_mode,设置运行模式,mode:str,运行模式设置,写设定值
冷冻冷藏箱,fridge_freezer,action,set_temperature,设置温度,temperature:float,温度设置,写设定值
冷冻冷藏箱,fridge_freezer,action,defrost,除霜,,除霜触发 / 除霜完成,写触发→等完成→复位
冷冻冷藏箱,fridge_freezer,action,run,运行,,运行触发 / 运行完成,写触发→等完成→复位
冷冻冷藏箱,fridge_freezer,action,stop,停止,,停止触发 / 停止完成,写触发→等完成→复位
冷冻冷藏箱,fridge_freezer,property,status,设备运行状态,str,设备运行状态,读状态
冷冻冷藏箱,fridge_freezer,property,fault,故障,bool,故障,读状态
